MAL_ID,Name,Anime-1,Anime-2,Anime-3,Anime-4,Anime-5
354,UG?Ultimate Girls,,,,,
355,Shakugan no Shana,1195,4224,1691,356,4654
356,Fate/stay night,355,10620,4063,1818,169
357,Bokusatsu Tenshi Dokuro-chan,379,564,11785,36906,3702
358,"Iriya no Sora, UFO no Natsu",529,587,256,226,11021
359,I'll/CKBC,,,,,
360,Himiko-den,182,153,,,
361,Memories Off,346,,,,
362,Memories Off 2nd,,,,,
363,Memories Off 3.5,,,,,
364,Gallery Fake,1589,9996,1483,4039,1470
365,Fake,20371,1041,507,,
366,AIKa,2332,25731,1082,321,
367,Akazukin Chacha OVA,,,,,
368,Bible Black,40750,2432,320,3992,4498
369,Boogiepop wa Warawanai,339,323,6746,4975,2251
370,Burn Up Excess,297,379,,,
371,Cardcaptor Sakura Movie 1,,,,,
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,177,1014,,,
373,Bannou Bunka Neko-Musume,566,2414,,,
374,Bannou Bunka Neko-Musume DASH!,,,,,
375,Bannou Bunka Neko-Musume (1998),,,,,
376,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",,,,,
377,eX-Driver,185,49519,,,
378,eX-Driver the Movie,,,,,
379,Heppoko Jikken Animation Excel?Saga,,,,,
380,Fushigi Yuugi OVA,4080,,,,
381,Fushigi Yuugi: Dai Ni Bu,4080,2971,251,,
382,Futari Ecchi,9624,715,,,
383,Galaxy Angel,66,7768,2602,1887,14765
384,Gantz,14345,226,16498,6880,1690
385,Gilgamesh,26,2025,30,326,10793
386,H2,5941,1065,,,
387,Haibane Renmei,339,6547,486,6802,477
388,Capeta,263,185,2740,6055,18179
389,Karas,9941,1575,23311,1178,14467
390,Suzuka,3731,17741,21405,5941,189
391,Tales of Phantasia The Animation,1731,8995,9135,206,
392,Yuu?Yuu?Hakusho,,,,,
393,Escaflowne,1954,6169,2053,441,153
394,Ai Yori Aoshi: Enishi,20541,,,,
395,Gantz 2nd Stage,22687,,,,
396,Seikai no Senki,820,1133,942,,
397,Seikai no Senki II,,,,,
398,Seikai no Senki III,,,,,
399,Seikai no Senki Special,,,,,
400,Seihou Bukyou Outlaw Star,1,2001,20057,6,30
401,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,617,18153,,,
402,Otogi Juushi Akazukin OVA,,,,,
403,Hanaukyou Maid-tai,7148,,,,
404,Bastard!!: Ankoku no Hakaishin,3702,10218,1150,29803,12113
405,Blood: The Last Vampire,732,543,9260,7,1292
406,Buzzer Beater,5675,3701,,,
407,Tantei Gakuen Q,235,1571,341,12189,7768
408,Final Fantasy VII: Last Order,426,6151,,,
411,Gun x Sword,6,36144,1,1575,1450
412,Kore ga Watashi no Goshujinsama,3229,853,2104,5958,
413,Hametsu no Mars,3287,30,38853,226,1657
415,Tonari no Yamada-kun,16664,10165,6116,66,966
416,Kurenai no Buta,9000,16662,1,40082,13169
417,Ragnarök The Animation,3230,4657,11757,8,17265
418,Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,,,,,
419,Samurai Deeper Kyou,45,205,7592,6594,269
420,Spriggan,47,1140,,,
421,Stratos 4,1942,113,294,2604,
422,Stratos 4 OVA,,,,,
423,Stratos 4 Advance,,,,,
424,Dirty Pair,8795,1577,1347,1151,1
425,Shiritsu Araiso Koutougakkou Seitokai Shikkoubu,13843,,,,
426,Final Fantasy,3461,408,6151,,
427,Kaleido Star,1974,122,4722,721,33489
428,Kaleido Star: Aratanaru Tsubasa - Extra Stage,,,,,
429,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,,,,,
430,Fullmetal Alchemist: The Conqueror of Shamballa,38301,1587,,,
431,Howl no Ugoku Shiro,199,513,512,164,32902
432,Iria: Zeiram The Animation,400,1270,572,1,1347
433,"Kumo no Mukou, Yakusoku no Basho",1689,256,2236,9760,2924
434,Legend of Lemnear: Kyokuguro no Tsubasa Valkisas,8855,2249,1848,,
435,Magic Knight Rayearth,182,530,39417,17681,232
437,Perfect Blue,339,1943,323,1033,934
438,Phantom The Animation,5682,,,,
439,RG Veda,153,25013,,,
440,Shoujo Kakumei Utena,10721,30,18679,338,721
441,Shoujo Kakumei Utena: Adolescence Mokushiroku,32,6675,1943,885,10161
442,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,1033,882,,,
443,Onegai?Teacher: Himitsu na Futari,,,,,
444,Maria-sama ga Miteru: Haru,,,,,
445,Tales of Eternia The Animation,347,1731,,,
446,Weiß Kreuz Glühen,,,,,
447,Weiß Kreuz,1243,336,,,
448,Tenjou Tenge: The Ultimate Fight,,,,,
449,InuYasha Movie 4: Guren no Houraijima,,,,,
450,InuYasha Movie 2: Kagami no Naka no Mugenjo,,,,,
451,InuYasha Movie 3: Tenka Hadou no Ken,463,,,,
452,InuYasha Movie 1: Toki wo Koeru Omoi,,,,,
454,.hack//Gift,227,,,,
455,Fantastic Children,584,526,19,1450,9314
456,Gokujou Seitokai,850,98,1588,,
457,Mushishi,4081,486,2246,164,861
458,Buttobi!! CPU,4490,1331,,,
459,One Piece Movie 1,,,,,
460,One Piece Movie 2: Nejimaki-jima no Daibouken,,,,,
461,One Piece Movie 3: Chinjuu-jima no Chopper Oukoku,,,,,
462,One Piece Movie 4: Dead End no Bouken,,,,,
463,One Piece Movie 5: Norowareta Seiken,451,,,,
464,One Piece Movie 6: Omatsuri Danshaku to Himitsu no Shima,,,,,
465,One Piece Movie 7: Karakuri-jou no Mecha Kyohei,,,,,
466,One Piece: Taose! Kaizoku Ganzack,,,,,
467,Koukaku Kidoutai: Stand Alone Complex,13601,790,1,2025,26
468,Innocence,1350,4282,1943,47,1462
469,Karin,2993,3457,343,8536,7054
470,Okusama wa Joshikousei (TV),195,197,53,1271,
471,To Heart 2,10079,248,,,
472,To Heart,477,268,2927,328,145
473,Tide-Line Blue,,,,,
