MAL_ID,Name,Anime-1,Anime-2,Anime-3,Anime-4,Anime-5
351,Ojamajo Doremi Sharp,36593,,,,
352,Motto! Ojamajo Doremi,34290,,,,
353,Ojamajo Doremi Dokkaan!,,,,,
354,UG?Ultimate Girls,,,,,
355,Shakugan no Shana,1195,356,4654,849,32105
356,Fate/stay night,355,169,64,16512,2593
357,Bokusatsu Tenshi Dokuro-chan,227,2104,114,2166,1050
358,"Iriya no Sora, UFO no Natsu",,,,,
359,I'll/CKBC,,,,,
360,Himiko-den,,,,,
361,Memories Off,,,,,
362,Memories Off 2nd,,,,,
363,Memories Off 3.5,,,,,
364,Gallery Fake,1589,9996,1483,37458,40052
365,Fake,20371,,,,
366,AIKa,1082,,,,
367,Akazukin Chacha OVA,,,,,
368,Bible Black,40750,2432,7265,21349,13379
369,Boogiepop wa Warawanai,339,13125,385,514,387
370,Burn Up Excess,297,,,,
371,Cardcaptor Sakura Movie 1,,,,,
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,,,,,
373,Bannou Bunka Neko-Musume,2474,,,,
374,Bannou Bunka Neko-Musume DASH!,,,,,
375,Bannou Bunka Neko-Musume (1998),,,,,
376,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",,,,,
377,eX-Driver,,,,,
378,eX-Driver the Movie,,,,,
379,Heppoko Jikken Animation Excel?Saga,,,,,
380,Fushigi Yuugi OVA,,,,,
381,Fushigi Yuugi: Dai Ni Bu,,,,,
382,Futari Ecchi,,,,,
383,Galaxy Angel,14765,,,,
384,Gantz,226,8074,916,13601,2216
385,Gilgamesh,2025,790,1508,10793,369
386,H2,5941,1065,,,
387,Haibane Renmei,339,6547,486,6802,134
388,Capeta,263,,,,
389,Karas,9941,23311,6162,1072,4725
390,Suzuka,3731,17741,877,18245,292
391,Tales of Phantasia The Animation,1731,8995,,,
392,Yuu?Yuu?Hakusho,,,,,
393,Escaflowne,1182,1089,,,
394,Ai Yori Aoshi: Enishi,,,,,
