MAL_ID,Name,Anime-1,Anime-2,Anime-3,Anime-4,Anime-5
239,Gankutsuou,4898,440,721,2154,
240,Genshiken,1210,1887,57,,
241,Girls Bravo: First Season,,,,,
242,Gokusen,,,,,
243,Gravitation,3092,21105,39533,10321,2220
244,Agatha Christie no Meitantei Poirot to Marple,1375,,,,
245,Great Teacher Onizuka,509,200,6,,
246,Groove Adventure Rave,6702,25013,763,68,
247,Harukanaru Toki no Naka de: Hachiyou Shou,1579,,,,
248,Ichigo 100%,5150,,,,
249,InuYasha,6702,1482,30503,40730,166
250,Konjiki no Gash Bell!!,,,,,
251,Kyou kara Maou!,243,173,,,
252,Madlax,272,2030,889,1224,48
253,Jungle wa Itsumo Hare nochi Guu,,,,,
254,Jungle wa Itsumo Hare nochi Guu Deluxe,,,,,
255,Jungle wa Itsumo Hare nochi Guu Final,,,,,
256,Hoshi no Koe,1689,433,770,358,
257,Ikkitousen,,,,,
258,Hitsuji no Uta,600,,,,
259,Happy?Lesson,,,,,
260,Happy?Lesson (TV),,,,,
261,Happy?Lesson: Advance,,,,,
262,Happy?Lesson: The Final,,,,,
263,Hajime no Ippo,36563,15,185,11771,3002
264,Hajime no Ippo: Champion Road,,,,,
265,Hajime no Ippo: Mashiba vs. Kimura,,,,,
266,Gunparade March: Arata Naru Kougunka,,,,,
267,Gungrave,33,26,1,10132,
268,Golden Boy,32542,,,,
269,Bleach,392,1735,20,40748,1482
270,Hellsing,1726,27,6,7,
271,Gad Guard,1,132,,,
272,Noir,5682,252,2030,5356,134
273,Mahoutsukai ni Taisetsu na Koto,,,,,
274,Kiddy Grade,424,,,,
275,Love?Love?,,,,,
276,Mahoromatic: Automatic Maiden,,,,,
277,Mahoromatic: Motto Utsukushii Mono,,,,,
278,Viewtiful Joe,,,,,
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,19,7724,,,
280,Animal Yokochou,,,,,
281,Akane Maniax,,,,,
282,Angel Heart,,,,,
283,Akage no Anne,,,,,
284,Area 88 (TV),,,,,
285,Argento Soma,1690,,,,
286,B'T X,,,,,
287,Grappler Baki (TV),,,,,
288,Bakuten Shoot Beyblade,481,3972,859,874,
289,Comic Party,,,,,
290,Seikai no Monshou,593,909,,,
291,D.C.S.S: Da Capo Second Season,,,,,
292,Dear Boys,11771,170,,,
293,Di Gi Charat,1655,,,,
294,Divergence Eve,,,,,
295,Divergence Eve 2: Misaki Chronicles,,,,,
296,Dragon Drive,845,,,,
297,Grenadier: Hohoemi no Senshi,,,,,
298,.hack//Tasogare no Udewa Densetsu,34866,,,,
299,.hack//Liminality,,,,,
300,3x3 Eyes,620,,,,
301,Cinderella Boy,,,,,
302,Mirai Shounen Conan,,,,,
303,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,,,,,
304,Aa! Megami-sama! Movie,,,,,
305,Abashiri Ikka,,,,,
306,Abenobashi Mahou?Shoutengai,,,,,
307,Kerokko Demetan,,,,,
308,Zettai Shounen,387,,,,
309,Akahori Gedou Hour Rabuge,,,,,
310,"Chiisana Obake: Acchi, Kocchi, Socchi",,,,,
311,Ace wo Nerae!,795,,,,
312,Ace wo Nerae!: Final Stage,,,,,
313,Ace wo Nerae! (1979),,,,,
314,Ace wo Nerae! 2,,,,,
315,Xiao Qian,,,,,
316,Nageki no Kenkou Yuuryouji,,,,,
317,Final Fantasy VII: Advent Children,1362,36023,1726,770,
318,Hand Maid May,,,,,
319,Happy World!,,,,,
320,A Kite,5682,32355,1,,
321,Najica Dengeki Sakusen,,,,,
322,Paradise Kiss,877,57,12531,,
323,Mousou Dairinin,1943,19,1535,2596,
324,Kidou Keisatsu Patlabor: On Television,,,,,
325,Peach Girl,,,,,
326,Petshop of Horrors,1384,,,,
327,Puchi Pri*Yucie,,,,,
328,Piano (TV),23273,5680,,,
329,Planetes,1210,1,37435,,
330,Midori no Hibi,,,,,
331,Mahoujin Guruguru,,,,,
332,Dokidoki?Densetsu: Mahoujin Guruguru,,,,,
333,Mama wa Shougaku 4 Nensei,,,,,
334,Marmalade Boy,2221,,,,
335,Matantei Loki Ragnarok,,,,,
336,Ginyuu Mokushiroku Meine Liebe,,,,,
337,Psychic Academy,,,,,
338,Versailles no Bara,820,2828,,,
339,Serial Experiments Lain,30,369,790,437,43
340,Mutsu Enmei Ryuu Gaiden: Shura no Toki,419,,,,
341,Spiral: Suiri no Kizuna,,,,,
342,Starship Operators,,,,,
343,Tsukuyomi: Moon Phase,,,,,
344,Futatsu no Spica,550,,,,
345,Eikoku Koi Monogatari Emma,9938,,,,
346,W: Wish,,,,,
347,Wild Arms: Twilight Venom,,,,,
348,Binzume Yousei,1887,,,,
349,Magical Canan,,,,,
350,Ojamajo Doremi,721,122,31933,33489,521
351,Ojamajo Doremi Sharp,,,,,
352,Motto! Ojamajo Doremi,,,,,
353,Ojamajo Doremi Dokkaan!,,,,,
354,UG?Ultimate Girls,,,,,
355,Shakugan no Shana,1195,4654,20507,10793,10620
356,Fate/stay night,2593,2970,934,177,24455
357,Bokusatsu Tenshi Dokuro-chan,,,,,
358,"Iriya no Sora, UFO no Natsu",256,226,,,
359,I'll/CKBC,,,,,
360,Himiko-den,,,,,
361,Memories Off,,,,,
362,Memories Off 2nd,,,,,
363,Memories Off 3.5,,,,,
364,Gallery Fake,,,,,
365,Fake,507,,,,
366,AIKa,,,,,
367,Akazukin Chacha OVA,,,,,
368,Bible Black,,,,,
369,Boogiepop wa Warawanai,339,934,790,1,272
370,Burn Up Excess,,,,,
371,Cardcaptor Sakura Movie 1,,,,,
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,1014,,,,
373,Bannou Bunka Neko-Musume,,,,,
374,Bannou Bunka Neko-Musume DASH!,,,,,
375,Bannou Bunka Neko-Musume (1998),573,,,,
376,"Elfen Lied: Tooriame nite Arui wa, Shoujo wa Ikani Shite Sono Shinjou ni Itatta ka? - Regenschauer",,,,,
377,eX-Driver,,,,,
378,eX-Driver the Movie,,,,,
379,Heppoko Jikken Animation Excel?Saga,,,,,
380,Fushigi Yuugi OVA,,,,,
381,Fushigi Yuugi: Dai Ni Bu,,,,,
382,Futari Ecchi,,,,,
383,Galaxy Angel,,,,,
384,Gantz,16498,2346,1601,11837,
385,Gilgamesh,,,,,
386,H2,1065,,,,
387,Haibane Renmei,6547,486,6802,457,308
388,Capeta,627,,,,
389,Karas,1072,,,,
390,Suzuka,17741,18245,1698,,
391,Tales of Phantasia The Animation,,,,,
392,Yuu?Yuu?Hakusho,,,,,
393,Escaflowne,1182,572,,,
394,Ai Yori Aoshi: Enishi,,,,,
395,Gantz 2nd Stage,,,,,
396,Seikai no Senki,2158,,,,
397,Seikai no Senki II,,,,,
398,Seikai no Senki III,,,,,
399,Seikai no Senki Special,,,,,
400,Seihou Bukyou Outlaw Star,1,2001,,,
401,Rurouni Kenshin: Meiji Kenkaku Romantan - Seisou-hen,,,,,
402,Otogi Juushi Akazukin OVA,,,,,
403,Hanaukyou Maid-tai,,,,,
404,Bastard!!: Ankoku no Hakaishin,14719,3702,666,,
405,Blood: The Last Vampire,,,,,
406,Buzzer Beater,,,,,
407,Tantei Gakuen Q,,,,,
408,Final Fantasy VII: Last Order,,,,,
411,Gun x Sword,165,,,,
412,Kore ga Watashi no Goshujinsama,5030,,,,
413,Hametsu no Mars,3287,19315,2169,,
415,Tonari no Yamada-kun,,,,,
416,Kurenai no Buta,9000,16662,,,
417,Ragnarök The Animation,11757,,,,
418,Ranma ½: Chuugoku Nekonron Daikessen! Okite Yaburi no Gekitou-hen!!,,,,,
419,Samurai Deeper Kyou,340,,,,
420,Spriggan,,,,,
421,Stratos 4,,,,,
422,Stratos 4 OVA,,,,,
423,Stratos 4 Advance,,,,,
424,Dirty Pair,274,,,,
425,Shiritsu Araiso Koutougakkou Seitokai Shikkoubu,,,,,
426,Final Fantasy,,,,,
427,Kaleido Star,721,34636,,,
428,Kaleido Star: Aratanaru Tsubasa - Extra Stage,,,,,
429,Kaleido Star: Legend of Phoenix - Layla Hamilton Monogatari,,,,,
430,Fullmetal Alchemist: The Conqueror of Shamballa,,,,,
431,Howl no Ugoku Shiro,199,513,512,33352,1205
432,Iria: Zeiram The Animation,,,,,
433,"Kumo no Mukou, Yakusoku no Basho",1689,256,2924,6408,16782
434,Legend of Lemnear: Kyokuguro no Tsubasa Valkisas,,,,,
435,Magic Knight Rayearth,,,,,
437,Perfect Blue,339,1943,30,570,885
438,Phantom The Animation,,,,,
439,RG Veda,25013,,,,
440,Shoujo Kakumei Utena,18679,9756,35503,795,879
441,Shoujo Kakumei Utena: Adolescence Mokushiroku,39533,34537,,,
442,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,,,,,
443,Onegai?Teacher: Himitsu na Futari,,,,,
444,Maria-sama ga Miteru: Haru,,,,,
445,Tales of Eternia The Animation,,,,,
446,Weiß Kreuz Glühen,,,,,
447,Weiß Kreuz,,,,,
448,Tenjou Tenge: The Ultimate Fight,,,,,
449,InuYasha Movie 4: Guren no Houraijima,,,,,
450,InuYasha Movie 2: Kagami no Naka no Mugenjo,,,,,
451,InuYasha Movie 3: Tenka Hadou no Ken,,,,,
452,InuYasha Movie 1: Toki wo Koeru Omoi,,,,,
454,.hack//Gift,,,,,
455,Fantastic Children,584,6444,,,
456,Gokujou Seitokai,,,,,
457,Mushishi,4081,486,2246,164,477
458,Buttobi!! CPU,,,,,
459,One Piece Movie 1,,,,,
460,One Piece Movie 2: Nejimaki-jima no Daibouken,,,,,
